pos,rangee,signal,broche_mcu,gpio,mux,note,type_electrique
A1,A,GND,,,,,power_in
A2,A,ADC_1,6,,,,passive
A3,A,ADC_2,7,,,,passive
A4,A,GND,,,,,power_in
A5,A,ADC_3,8,,,,passive
A6,A,ADC_4,10,,,,passive
A7,A,GND,,,,,power_in
A8,A,ADC_5,11,,,,passive
A9,A,ADC_6,12,,,,passive
A10,A,GND,,,,,power_in
A11,A,ADC_7,13,,,,passive
A12,A,ADC_8,14,,,,passive
A13,A,GND,,,,,power_in
A14,A,ADC_9,15,,,,passive
A15,A,ADC_10,18,,,,passive
A16,A,GND,,,,,power_in
A17,A,I_SHUNT1,9,,,CMP1_HP0,passive
A18,A,GND,,,,,power_in
A19,A,I_SHUNT2,25,,,CMP2_HP3,passive
A20,A,GND,,,,,power_in
A21,A,ADC_11,19,,,,passive
A22,A,GND,,,,,power_in
A23,A,VREF_ADC,16,,,VREFHI,passive
A24,A,GND,,,,,power_in
B1,B,GND,5/26/45/58,,,,power_in
B2,B,+5V,USB,,,,power_in
B3,B,nRESET,3,,,XRSn,input
B4,B,GND,,,,,power_in
B5,B,PWM1_A,52,GPIO0,1,,output
B6,B,PWM1_B,51,GPIO1,1,,output
B7,B,PWM2_A,50,GPIO2,1,,output
B8,B,PWM2_B,49,GPIO3,1,,output
B9,B,GND,,,,,power_in
B10,B,GPIO_1,48,GPIO4,0,,bidirectional
B11,B,GPIO_2,61,GPIO5,0,,bidirectional
B12,B,GPIO_3,64,GPIO6,0,,bidirectional
B13,B,GPIO_4,57,GPIO7,0,,bidirectional
B14,B,GND,,,,,power_in
B15,B,UART_TX,1,GPIO29,1,,output
B16,B,UART_RX,2,GPIO28,1,,input
B17,B,I2C_SCL,47,GPIO8,9,,bidirectional
B18,B,I2C_SDA,63,GPIO10,9,,bidirectional
B19,B,SPI_CLK,41,GPIO18,1,,output
B20,B,SPI_SIMO,33,GPIO16,1,,output
B21,B,SPI_SOMI,34,GPIO17,1,,input
B22,B,SPI_STE,42,GPIO19,1,,output
B23,B,CMP_OUT,31,GPIO11,3,,output
B24,B,CLB_OUT,56,GPIO22,10,,output
