position,signal,broche_MCU_64PM,fonction_mux_ou_canaux_ADC,identique_F280037_F28P551
A1,GND,21 (VSSA),,oui
A2,Vin,6,A6,oui
A3,Vout,7,B2/C6,oui
A4,GND,,,oui
A5,V1,8,A3/B3/C5,oui
A6,Temp1,10,A15/B9/C7,oui
A7,GND,,,oui
A8,Temp2,11,A14/B14/C4,oui
A9,Iin,12,A11/B10/C0,oui
A10,GND,,,oui
A11,Iout,14,A1/B7,oui
A12,ADC_8,15,A0/B15/C15,oui
A13,GND,,,oui
A14,ADC_9,18,A12/C1,oui
A15,ADC_10,19,A7/C3,oui
A16,GND,,,oui
A17,ADC_11,20,A8/B0/C11,oui
A18,ADC_12,23,A4/B8/C14,oui
A19,GND,,,oui
A20,I_SHUNT1_MES,13,A5/B12/C2,oui
A21,GND,,,oui
A22,I_SHUNT1_CMP,9,A2/B6/C9 - CMP1_HP0,oui
A23,GND,,,oui
A24,I_SHUNT2_MES,24,A9/B4/C8,oui
A25,GND,,,oui
A26,I_SHUNT2_CMP,25,A10/B1/C10 - CMP2_HP3,oui
A27,VREF_ADC,16,VREFHI,oui
A28,VREFLO_SENSE,17,VREFLO,oui
B1,GND,5/26/45/58,,oui
B2,+5V,,,oui
B3,nRESET,3,XRSn,oui
B4,BOOT_SEL,35,GPIO24 mux0 - BMSP1,oui
B5,PWM1_A,52,GPIO0 EPWM1_A mux1,oui
B6,PWM1_B,51,GPIO1 EPWM1_B mux1,oui
B7,PWM2_A,50,GPIO2 EPWM2_A mux1,oui
B8,PWM2_B,49,GPIO3 EPWM2_B mux1,oui
B9,GND,,,oui
B10,PWM3_A,48,GPIO4 EPWM3_A mux1,oui
B11,PWM3_B,61,GPIO5 EPWM3_B mux1,oui
B12,PWM4_A,64,GPIO6 EPWM4_A mux1,oui
B13,PWM4_B,57,GPIO7 EPWM4_B mux1,oui
B14,GND,,,oui
B15,UART_TX,1,GPIO29 SCIA_TX mux1,oui
B16,UART_RX,2,GPIO28 SCIA_RX mux1,oui
B17,I2C_SCL,47,GPIO8 I2CA_SCL mux9,oui
B18,I2C_SDA,63,GPIO10 I2CA_SDA mux9,oui
B19,SPI_CLK,41,GPIO18 SPIA_CLK mux1,oui
B20,SPI_SIMO,33,GPIO16 SPIA_SIMO mux1,oui
B21,SPI_SOMI,34,GPIO17 SPIA_SOMI mux1,oui
B22,SPI_STE,42,GPIO19 SPIA_STE mux1,oui
B23,GND,,,oui
B24,CAN_TX,29,GPIO13 MCAN_TX mux3,oui
B25,CAN_RX,30,GPIO12 MCAN_RX mux3,oui
B26,CMP_OUT,31,GPIO11 OUTPUTXBAR7 mux3,oui
B27,CLB_OUT,56,GPIO22 CLB_OUTPUTXBAR1 mux10,oui
B28,GPIO_1,32,GPIO33 mux0 - nFAULT,oui
